Brown, [421, 497, 7072, 7993, 8322, 8643, 9141, 9349, 10365, 10996, 11311, 11735, 12367, 13406, 14003, 14525, 15130, 20121, 20133, 20958, 21631, 21967, 451, 5197, 5391, 5414, 5442, 9557, 10211, 10990, 12242, 12688, 13696, 13851, 18896, 19714, 20343, 20541, 21239, 22031]
Bennett, [1913, 2021, 2415, 15519, 15940, 16874, 17507, 18082, 18753, 20076, 21696, 650, 672, 1114, 1408, 2595, 3631, 4712, 4809, 4868, 5159, 6250, 7414, 12130, 13586, 14682]
Hilda, [812, 1744, 2327, 2340, 3316, 3420, 3452, 3503, 3559, 3612, 4594, 4676, 7660]
Wells, [2404, 18071, 18742, 20049, 20417, 20906, 21032, 6268, 12116]
Galsworthy, [2432, 18099, 18770, 20060, 21149, 21597, 6284, 12146, 13534]
Smith, [8486, 9085, 9249, 9408, 9713, 10031, 11056, 12196, 12530]
Strachey, [2502, 17322, 18048, 18298]
Eliot, [2531, 16139, 16693, 16717]
Waterloo, [6214, 13288, 20102, 5320]
Skellorn, [1340, 2091, 2493, 4517]
