Barbara, [1632, 1873, 3796, 4584, 4600, 5016, 8265, 20361, 20785, 21427, 21613, 21933, 31290, 106366, 116392, 117142, 118602, 119090, 120255, 120841, 122170, 124803, 132483, 133501, 134243, 138793, 139332, 139858, 140101, 143800, 144300, 4658, 6749, 7677, 9273, 9404, 20562, 23741, 25929, 30958, 33982, 38900, 38916, 39853, 42593, 52900, 76626, 83334, 87395, 87798, 91153, 105948, 108104, 108229, 108716, 139462, 140368, 143149, 145016]
Thedora, [4821, 11110, 12410, 13179, 23517, 33893, 35365, 35700, 110403, 112717, 127791, 129219, 130138, 130453, 132569, 134314, 136837, 137650, 144510, 11930, 16095, 22580, 28332, 34219, 35768, 37102, 37225, 58596, 59957, 72812, 103792, 104475, 110062, 110318, 110593, 110986, 111235, 111432, 111749, 111939, 112312, 112442, 120216, 128634, 135660]
Pokrovski, [37702, 50527, 54053, 54587, 57224, 57503, 57966, 59172, 59226, 59477, 59744, 59986, 60152, 60411, 60682, 61171, 62023, 66413, 67421, 68107, 70623, 71243, 72961, 74856, 75586, 75861, 76616, 76810, 80846, 81754, 82141, 82800, 83670, 85753, 94043, 94241, 95035, 96790, 97575, 98484]
Makar Alexievitch, [10157, 11562, 11793, 12777, 14171, 23594, 23766, 38142, 106561, 106710, 106832, 128767, 129089, 130990, 9721, 10647, 10891, 11606, 12505, 26306, 30453, 36845, 43446, 43869, 58158, 59842, 65490, 89247, 94249, 95557, 96378, 112837, 126253, 132251, 132357]
Bwikov, [33455, 59797, 59953, 60178, 60773, 60953, 112562, 112723, 120158, 120841, 125710, 126059, 126639, 126745, 126987, 127428, 128866, 129328, 130174, 130651, 130971, 131070, 133875, 134138, 135777]
Rataziaev, [114002, 117180, 118667, 118823, 119053, 119989, 120264, 122340, 125073, 126501, 126694, 130846, 133867, 134599, 143958, 26854, 55725, 56012, 105162, 107610, 114518, 114874, 119342]
Anna, [33113, 33434, 33739, 48514, 48553, 49118, 49500, 50498, 50547, 51040, 51382, 51393, 51870, 53139, 53794, 54188, 54359, 60217, 60359, 84385]
Anna Thedorovna, [37735, 41719, 49720, 60097, 61005, 84287, 96623, 97395, 99943, 100735, 112267, 28536, 36298, 121271]
Petinka, [62768, 63186, 64016, 66970, 82374, 86311, 86400, 90438, 90821, 91678, 116927, 116949, 117018, 117087]
Makar
Alexievitch, [2174, 102877, 103993, 111100, 13486, 37608, 44259, 59460, 90253, 104018, 137697]
