Castalia, [13004, 13127, 15790, 15911, 17245, 17262, 17755, 18049, 18599, 19542, 20777, 20986, 21521, 21657, 22337, 28544, 28745, 33130, 33394]
Hilda, [41094, 41121, 41128, 41200, 42026, 42381, 46626, 2609, 5423, 6894, 7846]
Jane, [6977, 17866, 18154, 18411, 18621, 21603, 25531, 27514]
Shakespeare, [5625, 25416, 32669, 39310, 41852]
Hobkin, [14275, 14785, 15446, 25147, 30447]
Sappho, [14331, 14404, 14447, 24969, 25095]
Eleanor, [24652, 25020, 25289, 22190, 22225]
Bob, [41662, 41954, 42016, 46274]
James Moggridge, [296, 418, 3076, 4755]
Cassandra, [17541, 30611, 32329]
