RICHARD, [1033, 1657, 5849, 6122, 8224, 8686, 14293, 15231, 20823, 21906, 24189, 29066, 30042, 34426, 34982, 35179, 35292, 35404, 39693, 63436, 1987, 3712, 4099, 6792, 7463, 8011, 11669, 14405, 14871, 16423, 17369, 17975, 32210, 32506, 33711, 37227, 37521, 37585, 37702, 39386, 42408, 42631, 43396, 56900, 59805, 60402, 60529, 61126, 61293, 61450, 61633]
Richard, [15874, 31852, 45453, 60578, 60634, 63216, 906, 8144, 8568, 9500, 10464, 10749, 11063, 11252, 16226, 16253, 21624, 21893, 22183, 28293, 28759, 28911, 30362, 30700, 33256, 33292, 33349, 39225, 39254, 39853, 44581, 44842, 45510, 56890, 59691]
GAUNT, [50, 1312, 1516, 8012, 8153, 10275, 11913, 12174, 12757, 17513, 23787, 24241, 24701, 25515, 25760, 25867, 25978, 26128, 26542, 27745, 31169, 31367, 32551, 34481, 35038, 35236, 35348, 35459, 36800]
Gaunt, [206, 986, 1054, 10236, 11227, 11575, 12265, 12674, 14096, 17467, 30589, 31105, 34473, 34532, 34887, 37939, 38655, 38826, 39934, 39982, 56577, 57354, 57772, 13329]
Aumerle, [16960, 28151, 28209, 34217, 57668, 63250, 7500, 14109, 23214, 24896, 26160, 26952, 27461, 45449, 45465, 47413, 47630, 48809, 50954]
Thou, [2758, 11406, 11646, 12272, 24390, 57010, 21407, 24707, 36114, 39263, 41381, 48083, 51034, 52092, 53425]
Tis, [3165, 32493, 46535, 46587, 46763, 46859, 47032, 60108, 18892, 21210, 26199, 36781, 46576]
Shall, [9473, 24054, 38731, 52608, 54813, 64405, 479, 12758, 13927, 14203, 29702, 29785, 38115]
Hath, [10677, 11998, 23492, 34063, 64507, 1285, 20275, 52183, 61977, 63566]
Gloucester, [6898, 10988, 11892, 36984, 38775, 49211, 23479, 23814, 25056]
