Ormerod, [971, 4739, 6044, 6355, 6585, 6696, 8509, 10569, 10623, 11029, 11262, 12026, 12106, 12293, 12542, 12726, 12844, 14980, 16171, 16235, 16977, 18759, 19478, 19549, 20545, 21549, 21832, 22096, 22420, 22499, 22760, 22886, 23041, 23115, 23169, 23265]
John, [3775, 4749, 4822, 5235, 5374, 5502, 5694, 8491, 13917, 15157, 16670, 16699, 17233, 17477, 17730, 17764, 17899, 18767, 19175, 19733, 36210, 37824, 38361, 38677, 39108, 39678, 41141, 41162, 138347, 138411, 138417, 148772]
Mitford, [226420, 24412, 24576, 30755, 121146, 121527, 121572, 121995, 122219, 122307, 122458, 122993, 123577, 125172, 126130, 126429, 127142, 127524, 128723, 132370, 132749, 132853, 133150, 133798, 134141, 134299]
Jane Austen, [980, 48425, 48682, 226456, 23391, 24020, 27552, 28700, 29311, 29490, 31932, 33262, 34918, 37641, 40748, 43984, 45517, 48221, 129390, 130808, 131681, 226140, 227764]
Shakespeare, [24776, 24837, 53345, 54231, 57362, 58305, 70695, 91132, 91156, 91219, 98180, 146556, 153006, 182000, 188636, 2926, 101423, 112087, 151163, 151264, 172318, 172356]
Evelyn, [149951, 150168, 150641, 150754, 151108, 151368, 151806, 152354, 153104, 153843, 154636, 155143, 156327, 156815, 157655, 157963, 160361, 160435, 160839, 161719, 161755, 163512]
Edgeworth, [211812, 211846, 213369, 213908, 214316, 215714, 217456, 218223, 218657, 218901, 219000, 220139, 220310, 220949, 222167, 223288, 223838, 224127, 224336, 225086]
George Eliot, [1043, 79157, 79181, 81022, 81363, 83143, 90303, 90953, 92019, 92826, 93147, 94856, 96354, 97449, 98941, 99295]
Margaret, [4683, 11727, 13850, 15777, 16295, 36698, 37978, 130706, 131779, 132304, 132885, 133676, 134193, 135303, 135540, 137563]
Eleanor, [4109, 4489, 5364, 6008, 6174, 6336, 9235, 9977, 10687, 11429, 11843, 14671, 19717, 19983]
