Douglas, [35053, 35131, 35202, 45254, 45661, 46701, 48167, 48701, 54764, 55728, 56066, 56404, 57592, 59892, 60311, 60949, 62554, 63051, 64085, 64692, 65669, 65968, 68375, 68718, 68925, 70622, 71677, 98229, 99620, 101234, 6998, 7746, 8096, 54043, 54225, 54379, 55060, 55317, 58059, 58243, 58700, 58892, 59003, 59261, 59536, 59832, 60075, 61286, 61764, 62729, 63851, 64053, 65174, 65912, 66373, 66548, 66590, 68147, 69035, 83852, 97518, 102959, 104719]
Ellen, [20166, 26343, 29674, 30121, 33497, 41776, 55767, 55896, 59075, 59630, 60983, 62685, 62981, 63545, 64518, 65549, 65845, 69321, 5970, 8903, 9057, 16657, 17782, 23701, 76364, 78051, 79978, 83783, 96780, 98759, 99736, 100259, 103102, 103908, 105504]
Roderick, [44538, 45731, 46052, 46410, 48103, 49104, 49863, 55249, 60429, 61393, 63777, 67286, 67902, 68496, 69270, 69388, 70702, 74457, 80211, 84355, 100050, 134, 2504, 7631, 14925, 17134, 21294, 29302, 42790, 50478, 90244]
Roderick Dhu, [64107, 5598, 29822, 30489, 34451, 36303, 39012, 41389, 43323, 46584, 47829, 67334, 68995, 82647, 82948, 104310]
Allan, [43211, 46394, 52183, 56154, 72074, 6060, 6883, 7404, 14721, 17213, 20472, 80012, 81363, 81828, 83511]
Malcolm, [39857, 39937, 56441, 56948, 57611, 58770, 59930, 65825, 68192, 69303, 71022, 71532, 16895, 104924]
Saxon, [44571, 53573, 5476, 29086, 30356, 34587, 45258, 45646, 45872, 48292, 49275, 84698, 90432]
Loch Katrine, [15555, 73552, 84664, 100294, 5136, 18556, 72590, 91110, 93384]
Alpine, [79535, 79877, 81098, 81894, 86769, 2769, 24216, 95969, 96362]
Malcolm Graeme, [40385, 49024, 56118, 58372, 59531, 60488, 7439, 97577]
