,Ormerod,John,Mitford,Jane Austen,Shakespeare,Evelyn,Edgeworth,George Eliot,Margaret,Eleanor
Ormerod,0.0,0.20228382292765648,1.0333838679319427,0.5462199774155436,0.8530673903616024,1.4140585943917794,2.1258926657676134,0.6390399229382169,0.6626490803758779,0.005960439750590825
John,0.20228382292765648,0.0,0.8023102970903119,0.27834707653062973,0.566749782615462,1.1264324818275115,1.8130648437027828,0.4882678658169464,0.31915570044312674,0.015610110613425413
Mitford,1.0333838679319427,0.8023102970903119,0.0,0.6474384452643568,0.35656395372354055,0.31476926533889776,0.9691372141670485,0.35461600476567723,0.28057527538056093,0.9246468520996444
Jane Austen,0.5462199774155436,0.27834707653062973,0.6474384452643568,0.0,0.431024119238055,1.043136661945919,1.5155490011506416,0.4343606533735322,0.3856595872556046,0.19302892026148202
Shakespeare,0.8530673903616024,0.566749782615462,0.35656395372354055,0.431024119238055,0.0,0.634206176737823,1.1936367187915924,0.23590360366851293,0.23619249780009266,0.5515930694132999
Evelyn,1.4140585943917794,1.1264324818275115,0.31476926533889776,1.043136661945919,0.634206176737823,0.0,0.7118561588990889,0.7409638715129605,0.728134702158244,1.4653343090973858
Edgeworth,2.1258926657676134,1.8130648437027828,0.9691372141670485,1.5155490011506416,1.1936367187915924,0.7118561588990889,0.0,1.4677359513223232,1.4549067819676063,2.1905929900659453
George Eliot,0.6390399229382169,0.4882678658169464,0.35461600476567723,0.4343606533735322,0.23590360366851293,0.7409638715129605,1.4677359513223232,0.0,0.4602560931535896,0.7132686280517991
Margaret,0.6626490803758779,0.31915570044312674,0.28057527538056093,0.3856595872556046,0.23619249780009266,0.728134702158244,1.4549067819676063,0.4602560931535896,0.0,0.6668103200910396
Eleanor,0.005960439750590825,0.015610110613425413,0.9246468520996444,0.19302892026148202,0.5515930694132999,1.4653343090973858,2.1905929900659453,0.7132686280517991,0.6668103200910396,0.0
