,Smith,Wilkins,Faithburn,Fritz,Cooley,John,Jackson,Napoleon Smith,Fritz Napoleon Smith's,Peer
Smith,0.0,0.02881016042780757,0.013034759358288756,0.026671122994652408,0.012032085561497263,0.008244206773618553,0.008288770053475947,0.03749999999999998,0.01931818181818179,0.005681818181818232
Wilkins,0.02881016042780757,0.0,0.05577094474153307,0.6081216577540106,0.019073083778966105,1.303030303030303,1.1234625668449199,0.8878342245989306,1.0357620320855616,0.021056149732620266
Faithburn,0.013034759358288756,0.05577094474153307,0.0,0.5669786096256683,0.024598930481283553,1.2532976827094475,1.0120989304812835,0.7764705882352941,0.9243983957219251,0.030481283422459926
Fritz,0.026671122994652408,0.6081216577540106,0.5669786096256683,0.0,0.5156417112299465,0.5144830659536542,0.23482620320855616,0.0008021390374330917,0.16263368983957216,0.40180481283422465
Cooley,0.012032085561497263,0.019073083778966105,0.024598930481283553,0.5156417112299465,0.0,1.4416221033868093,1.2422459893048128,1.0066176470588237,1.1545454545454548,0.022125668449197944
John,0.008244206773618553,1.303030303030303,1.2532976827094475,0.5144830659536542,1.4416221033868093,0.0,0.19639037433155085,0.32754010695187163,0.1796122994652407,1.343716577540107
Jackson,0.008288770053475947,1.1234625668449199,1.0120989304812835,0.23482620320855616,1.2422459893048128,0.19639037433155085,0.0,0.23562834224598925,0.2648395721925134,1.2518048128342247
Napoleon Smith,0.03749999999999998,0.8878342245989306,0.7764705882352941,0.0008021390374330917,1.0066176470588237,0.32754010695187163,0.23562834224598925,0.0,0.16263368983957216,1.0161764705882352
Fritz Napoleon Smith's,0.01931818181818179,1.0357620320855616,0.9243983957219251,0.16263368983957216,1.1545454545454548,0.1796122994652407,0.2648395721925134,0.16263368983957216,0.0,1.1641042780748663
Peer,0.005681818181818232,0.021056149732620266,0.030481283422459926,0.40180481283422465,0.022125668449197944,1.343716577540107,1.2518048128342247,1.0161764705882352,1.1641042780748663,0.0
