,Jacob,Flanders,Durrant,Clara,Jarvis,Sandra,Archer,Bowley,Cruttendon,Floyd
Jacob,0.0,0.008528977386068302,0.009685447608715985,0.005675316806984572,0.012035897493883587,0.003306082574215898,0.009827569084544244,0.009149833825851368,0.012008015028324303,0.008287615391939333
Flanders,0.008528977386068302,0.0,0.6123248100259291,0.6555849167963114,0.04547794419242109,0.4634887078930544,0.011860305821305126,0.3499453004905295,0.11956608201004176,0.06880043176252677
Durrant,0.009685447608715985,0.6123248100259291,0.0,0.14773950525749072,0.2751171585917637,0.12188402551993577,0.7750194989676219,0.16388710735726178,0.24295091838081473,0.6526692626777196
Clara,0.005675316806984572,0.6555849167963114,0.14773950525749072,0.0,0.7222540768862242,0.1167658092338537,1.25376819499751,0.21634623976635609,0.6424951391833853,1.120782700853246
Jarvis,0.012035897493883587,0.04547794419242109,0.2751171585917637,0.7222540768862242,0.0,0.6279821171574556,0.4912421753975025,0.5156746781746889,0.16482752348748972,0.35095153424259357
Sandra,0.003306082574215898,0.4634887078930544,0.12188402551993577,0.1167658092338537,0.6279821171574556,0.0,1.1688065608742613,0.2886049142374798,0.5749034944148754,1.0627508113610706
Archer,0.009827569084544244,0.011860305821305126,0.7750194989676219,1.25376819499751,0.4912421753975025,1.1688065608742613,0.0,1.0723559134491865,0.6170943515412395,0.14824192654482896
Bowley,0.009149833825851368,0.3499453004905295,0.16388710735726178,0.21634623976635609,0.5156746781746889,0.2886049142374798,1.0723559134491865,0.0,0.8039025950669629,1.0950025879158851
Cruttendon,0.012008015028324303,0.11956608201004176,0.24295091838081473,0.6424951391833853,0.16482752348748972,0.5749034944148754,0.6170943515412395,0.8039025950669629,0.0,0.49518090048479657
Floyd,0.008287615391939333,0.06880043176252677,0.6526692626777196,1.120782700853246,0.35095153424259357,1.0627508113610706,0.14824192654482896,1.0950025879158851,0.49518090048479657,0.0
