,Barbara,Thedora,Pokrovski,Makar Alexievitch,Bwikov,Rataziaev,Anna,Anna Thedorovna,Petinka,"Makar
Alexievitch"
Barbara,0.0,0.06743919267582972,0.4489363560497147,0.059205962126633004,0.10506923550276752,0.047527341014681035,0.2549699286960886,0.06581115930560645,0.13488714134379753,0.03392728843624337
Thedora,0.06743919267582972,0.0,0.4385916414678343,0.12488726414405528,0.08000050830020178,0.04979937351350243,0.28840561057113123,0.08079016453701544,0.16325883882332246,0.043939588341494425
Pokrovski,0.4489363560497147,0.4385916414678343,0.0,0.40210248830368694,0.4125938726728461,0.42843824653698614,0.11297855972842488,0.1064859682114297,0.09266799564779812,0.22306781938593473
Makar Alexievitch,0.059205962126633004,0.12488726414405528,0.40210248830368694,0.0,0.3665092820735827,0.3278675454448974,0.2985931759307653,0.03500733874999981,0.13351489723401955,0.033829996240149145
Bwikov,0.10506923550276752,0.08000050830020178,0.4125938726728461,0.3665092820735827,0.0,0.08862123452508162,0.6809619446322678,0.2570140244655518,0.20114681410747765,0.2389043766820322
Rataziaev,0.047527341014681035,0.04979937351350243,0.42843824653698614,0.3278675454448974,0.08862123452508162,0.0,0.7417184966330089,0.35570667177857634,0.23654542516202068,0.320997646147087
Anna,0.2549699286960886,0.28840561057113123,0.11297855972842488,0.2985931759307653,0.6809619446322678,0.7417184966330089,0.0,0.30541907041815713,0.44260036401612773,0.41846795521506325
Anna Thedorovna,0.06581115930560645,0.08079016453701544,0.1064859682114297,0.03500733874999981,0.2570140244655518,0.35570667177857634,0.30541907041815713,0.0,0.24197420657262048,0.11301166635427821
Petinka,0.13488714134379753,0.16325883882332246,0.09266799564779812,0.13351489723401955,0.20114681410747765,0.23654542516202068,0.44260036401612773,0.24197420657262048,0.0,0.30329195813856114
"Makar
Alexievitch",0.03392728843624337,0.043939588341494425,0.22306781938593473,0.033829996240149145,0.2389043766820322,0.320997646147087,0.41846795521506325,0.11301166635427821,0.30329195813856114,0.0
