,Barbara,Thedora,Pokrovski,Makar Alexievitch,Bwikov,Rataziaev,Anna,Anna Thedorovna,Petinka,"Makar
Alexievitch"
Barbara,0.0,0.08501293310828599,0.5716871771239657,0.06525825156602941,0.13620610684906867,0.06302817996758031,0.2925915330046958,0.08124872925314744,0.17220155109346472,0.03999897333546224
Thedora,0.08501293310828599,0.0,0.5566489347751702,0.14449150722771484,0.10281965842949442,0.0671708324170903,0.32450107137415907,0.10282859662442599,0.2093496866011035,0.05187826327612671
Pokrovski,0.5716871771239657,0.5566489347751702,0.0,0.4645375602662452,0.547473438194334,0.5643921230047779,0.13073034423166763,0.12918599199843023,0.12230140125721507,0.25677783210227445
Makar Alexievitch,0.06525825156602941,0.14449150722771484,0.4645375602662452,0.0,0.4617930458172871,0.4169988524320326,0.34566816636521475,0.04366005647261069,0.1743861236894366,0.03778692310113062
Bwikov,0.13620610684906867,0.10281965842949442,0.547473438194334,0.4617930458172871,0.0,0.1169264270243088,0.8649961194935062,0.3259704857616387,0.26467618907842,0.2722697229637313
Rataziaev,0.06302817996758031,0.0671708324170903,0.5643921230047779,0.4169988524320326,0.1169264270243088,0.0,0.9384762651203128,0.4504856232400422,0.3020614434322987,0.38149121749794856
Anna,0.2925915330046958,0.32450107137415907,0.13073034423166763,0.34566816636521475,0.8649961194935062,0.9384762651203128,0.0,0.3799304324297785,0.551418203586036,0.506043149957188
Anna Thedorovna,0.08124872925314744,0.10282859662442599,0.12918599199843023,0.04366005647261069,0.3259704857616387,0.4504856232400422,0.3799304324297785,0.0,0.29322467703122673,0.12293239025271457
Petinka,0.17220155109346472,0.2093496866011035,0.12230140125721507,0.1743861236894366,0.26467618907842,0.3020614434322987,0.551418203586036,0.29322467703122673,0.0,0.34961158828947125
"Makar
Alexievitch",0.03999897333546224,0.05187826327612671,0.25677783210227445,0.03778692310113062,0.2722697229637313,0.38149121749794856,0.506043149957188,0.12293239025271457,0.34961158828947125,0.0
