,Smith,Wilkins,Faithburn,Fritz,Cooley,John,Jackson,Napoleon Smith,Fritz Napoleon Smith's,Peer
Smith,0.0,0.034025356644146076,0.015229132440896409,0.02968926078043302,0.01411533030372077,0.008428537734901431,0.008254715205867458,0.04083005883910906,0.02060003591220405,0.006668490298887719
Wilkins,0.034025356644146076,0.0,0.0646952385583794,0.6887501387852806,0.02237071560760199,1.4424540288433652,1.245742079057609,0.9993673465862141,1.160993438180782,0.024678336015024893
Faithburn,0.015229132440896409,0.0646952385583794,0.0,0.6415620233120845,0.028931321728914067,1.3855981591958042,1.1174040293767198,0.8710292969053247,1.0326553884998928,0.03566969932703479
Fritz,0.02968926078043302,0.6887501387852806,0.6415620233120845,0.0,0.592224455610115,0.5505079148984544,0.24550669004073297,0.0008680424306620194,0.17715089542655826,0.4646316803309025
Cooley,0.01411533030372077,0.02237071560760199,0.028931321728914067,0.592224455610115,0.0,1.6047449974960653,1.3845450877857925,1.1381703553143976,1.2997964469089656,0.025898835685601473
John,0.008428537734901431,1.4424540288433652,1.3855981591958042,0.5505079148984544,1.6047449974960653,0.0,0.2089400876180386,0.3503674523382285,0.1887413607436606,1.499671436528803
Jackson,0.008254715205867458,1.245742079057609,1.1174040293767198,0.24550669004073297,1.3845450877857925,0.2089400876180386,0.0,0.246374732471395,0.27660234024958186,1.3956787166619697
Napoleon Smith,0.04083005883910906,0.9993673465862141,0.8710292969053247,0.0008680424306620194,1.1381703553143976,0.3503674523382285,0.246374732471395,0.0,0.1771719633590148,1.1493039841905746
Fritz Napoleon Smith's,0.02060003591220405,1.160993438180782,1.0326553884998928,0.17715089542655826,1.2997964469089656,0.1887413607436606,0.27660234024958186,0.1771719633590148,0.0,1.3109300757851425
Peer,0.006668490298887719,0.024678336015024893,0.03566969932703479,0.4646316803309025,0.025898835685601473,1.499671436528803,1.3956787166619697,1.1493039841905746,1.3109300757851425,0.0
