,Austen,Christie,Dickens,Dostoyevsky,Scott,Verne,Woolf,Zola
Austen,1,0.5,0.5833333333333334,0.5833333333333334,0.6458333333333335,0.6166666666666667,0.6111111111111109,0.5833333333333335
Christie,0.5,1,0.5645833333333333,0.5648148148148148,0.5916666666666666,0.5833333333333333,0.5722222222222224,0.5666666666666665
Dickens,0.5833333333333334,0.5645833333333333,1,0.5571428571428568,0.5588888888888891,0.5645833333333334,0.5656862745098041,0.5731481481481483
Dostoyevsky,0.5833333333333334,0.5648148148148148,0.5571428571428568,1,0.5605263157894739,0.5683333333333335,0.569047619047619,0.5727272727272726
Scott,0.6458333333333335,0.5916666666666666,0.5588888888888891,0.5605263157894739,1,0.5804347826086956,0.5805555555555555,0.5906666666666665
Verne,0.6166666666666667,0.5833333333333333,0.5645833333333334,0.5683333333333335,0.5804347826086956,1,0.5814102564102563,0.578395061728395
Woolf,0.6111111111111109,0.5722222222222224,0.5656862745098041,0.569047619047619,0.5805555555555555,0.5814102564102563,1,0.5678571428571427
Zola,0.5833333333333335,0.5666666666666665,0.5731481481481483,0.5727272727272726,0.5906666666666665,0.578395061728395,0.5678571428571427,1
