,Austen,Christie,Dickens,Dostoyevsky,Scott,Verne,Woolf,Zola
Austen,1,0.5333333333333333,0.6833333333333332,0.6444444444444443,0.7000000000000001,0.68,0.6777777777777779,0.6476190476190474
Christie,0.5333333333333333,1,0.6291666666666667,0.6222222222222221,0.6466666666666667,0.6181818181818184,0.6083333333333333,0.5923076923076923
Dickens,0.6833333333333332,0.6291666666666667,1,0.5809523809523807,0.5911111111111111,0.5916666666666667,0.588235294117647,0.5870370370370371
Dostoyevsky,0.6444444444444443,0.6222222222222221,0.5809523809523807,1,0.5824561403508773,0.5866666666666666,0.5857142857142857,0.5833333333333333
Scott,0.7000000000000001,0.6466666666666667,0.5911111111111111,0.5824561403508773,1,0.5956521739130434,0.5986111111111112,0.6066666666666666
Verne,0.68,0.6181818181818184,0.5916666666666667,0.5866666666666666,0.5956521739130434,1,0.6,0.593827160493827
Woolf,0.6777777777777779,0.6083333333333333,0.588235294117647,0.5857142857142857,0.5986111111111112,0.6,1,0.588095238095238
Zola,0.6476190476190474,0.5923076923076923,0.5870370370370371,0.5833333333333333,0.6066666666666666,0.593827160493827,0.588095238095238,1
